layer_idx,k_delta_compressibility,v_delta_compressibility,k_delta_norm,k_abs_norm,v_delta_norm,v_abs_norm,channel_structure_ratio,k_var_channel,k_var_token,k_outlier_fraction,sv_top50_energy,effective_rank_90,seq_len,head_dim,n_heads
0,0.8739398302718022,-0.32039268775373375,32.74368667602539,259.7464904785156,0.27458614110946655,0.2079579383134842,29.195497792015047,1052.013427734375,36.03341293334961,0.0390625,0.9999979734420776,1,438,64,2
1,0.9021719474626017,-0.07076330042977119,11.370939254760742,116.23393249511719,2.5085785388946533,2.34279465675354,133.50769111810317,343.3223571777344,2.5715548992156982,0.0234375,0.9704969525337219,18,438,64,2
2,0.8586825589566894,-0.4088606866640687,12.899589538574219,91.28094482421875,3.3977866172790527,2.411726474761963,47.387012011681556,141.17066955566406,2.979100465774536,0.050923943519592285,0.995760977268219,1,438,64,2
3,0.5434040930969882,-0.17164769084242693,12.466312408447266,27.302724838256836,3.859200954437256,3.293823719024658,4.26420090334188,12.07921314239502,2.83270263671875,0.018211329355835915,0.9556071758270264,23,438,64,2
4,0.6060832055162039,-0.2780007929822661,9.569245338439941,24.29255485534668,4.592491149902344,3.593496322631836,4.4343637306327235,9.49406909942627,2.141021728515625,0.024061786010861397,0.967146635055542,17,438,64,2
5,0.39993454092362235,-0.22464041667779244,9.78270435333252,16.3027286529541,4.844091892242432,3.955521821975708,2.148465173502711,4.090183734893799,1.903770089149475,0.014875856228172779,0.9454646706581116,23,438,64,2
6,0.38772556490595134,-0.13452448631739022,9.464360237121582,15.457709312438965,4.157483100891113,3.664515972137451,1.7913833356031788,3.785195827484131,2.113001585006714,0.01216466911137104,0.9457677006721497,25,438,64,2
7,0.34716184195781086,-0.15544316408679104,11.855913162231445,18.16057014465332,4.997019290924072,4.324764251708984,1.7471706758450691,5.22927188873291,2.9929943084716797,0.00909674633294344,0.9512653350830078,22,438,64,2
8,0.9320816902181672,-0.18211137673247868,10.212725639343262,150.36778259277344,4.746190547943115,4.015011310577393,229.12381282069103,617.01318359375,2.692924737930298,0.0234375,0.9997996687889099,1,438,64,2
9,0.35287739808364915,0.081419255658708,12.249164581298828,18.928661346435547,4.892744064331055,5.326416969299316,1.8276866828430565,5.690316200256348,3.1133980751037598,0.014501283876597881,0.9582632184028625,20,438,64,2
10,0.5039651416583446,-0.06792176729095911,8.933931350708008,18.010692596435547,5.507274150848389,5.157001495361328,2.410173349866455,5.284811019897461,2.1927099227905273,0.01717679761350155,0.9668564200401306,19,438,64,2
11,0.3195713641081602,0.17941745384068664,12.444836616516113,18.289701461791992,4.832021236419678,5.888525485992432,1.6669531807182227,5.398715019226074,3.2386722564697266,0.017551369965076447,0.9419882893562317,23,438,64,2
12,0.5113620243626832,-0.07740352224944047,8.054893493652344,16.484378814697266,5.371401786804199,4.985506057739258,2.310192192103141,4.346311569213867,1.8813636302947998,0.015446632169187069,0.9708302021026611,15,438,64,2
13,0.49743010312716307,0.0009828396126186911,8.738311767578125,17.387256622314453,4.920531272888184,4.925372123718262,1.9204355185716973,4.790971755981445,2.494731903076172,0.007937357760965824,0.9380260705947876,25,438,64,2
14,0.5491458704485437,-0.0030438632737113114,8.574597358703613,19.01856231689453,5.792202949523926,5.774625778198242,2.6847190411354105,5.821861743927002,2.16851806640625,0.014233732596039772,0.967875063419342,15,438,64,2
15,0.46134472185720543,0.03547972811300282,9.021031379699707,16.747318267822266,5.681820392608643,5.890825271606445,2.1309786395034855,4.4630656242370605,2.0943737030029297,0.014501283876597881,0.9547989964485168,22,438,64,2
16,0.4246991196336878,-0.3221401198418359,11.96942138671875,20.805498123168945,7.572805881500244,5.727687835693359,1.8782970462767126,6.895693302154541,3.6712474822998047,0.006884988397359848,0.9729481935501099,18,438,64,2
17,0.46596490625174236,-0.07544577831664734,8.714249610900879,16.317747116088867,6.1298627853393555,5.69983434677124,2.3815787838598284,4.1809210777282715,1.75552499294281,0.014233732596039772,0.9710005521774292,14,438,64,2
18,0.38494960000262635,0.01685803492058413,10.362637519836426,16.84843635559082,6.444396495819092,6.554899215698242,1.976644570569111,4.539553642272949,2.296595811843872,0.013716466724872589,0.9386022090911865,25,438,64,2
19,0.4511036255919205,-0.07106064324481642,9.692098617553711,17.657428741455078,6.717616081237793,6.271928787231445,2.2004171172481817,4.99444055557251,2.2697699069976807,0.015553653240203857,0.9458591341972351,24,438,64,2
20,0.45301306938656694,-0.1251249539818977,10.200421333312988,18.64838218688965,10.44308853149414,9.28171443939209,2.609273546264044,5.522786617279053,2.1165993213653564,0.01548230554908514,0.9755675196647644,12,438,64,2
21,0.4248607069044278,-0.19295076195801797,9.38946533203125,16.325550079345703,16.14805030822754,13.536225318908691,2.7089752432353857,4.283178806304932,1.5811066627502441,0.018782105296850204,0.982842206954956,11,438,64,2
22,0.3630581950351579,-0.4265870765251847,9.501418113708496,14.91724681854248,16.479808807373047,11.551912307739258,2.476872595771092,3.564134359359741,1.4389655590057373,0.013805651105940342,0.9689207673072815,14,438,64,2
23,0.4426326407374094,-0.324615323723489,9.897401809692383,17.75741195678711,14.681649208068848,11.083707809448242,3.432023924076157,5.163862228393555,1.5046113729476929,0.019228024408221245,0.9628159999847412,14,438,64,2
