layer_idx,k_delta_compressibility,v_delta_compressibility,k_delta_norm,k_abs_norm,v_delta_norm,v_abs_norm,channel_structure_ratio,k_var_channel,k_var_token,k_outlier_fraction,sv_top50_energy,effective_rank_90,seq_len,head_dim,n_heads
0,0.8737875410534964,-0.31103422770914624,32.74134063720703,259.41448974609375,0.2706766724586487,0.20646041631698608,28.43454498257778,1048.4122314453125,36.87107467651367,0.0390625,0.9999982118606567,1,512,64,2
1,0.9060479598378322,-0.07776088586418939,10.844613075256348,115.42711639404297,2.511823892593384,2.330594778060913,149.0685361575994,342.10498046875,2.2949509620666504,0.0234375,0.9679455161094666,18,512,64,2
2,0.8573609421525946,-0.3709964705918831,12.8773832321167,90.27950286865234,3.3733561038970947,2.4605140686035156,45.233101879448704,138.5836181640625,3.063765525817871,0.050140380859375,0.9952840805053711,1,512,64,2
3,0.5444356039237452,-0.11275882573530938,12.419278144836426,27.261301040649414,3.901686668395996,3.5063183307647705,4.127212809395811,12.1544771194458,2.944960117340088,0.01800537109375,0.9500990509986877,25,512,64,2
4,0.6274855558597636,-0.2040762760087702,8.691105842590332,23.330923080444336,4.532365798950195,3.7641849517822266,4.543203070411887,8.794415473937988,1.935730218887329,0.0284576416015625,0.9653672575950623,18,512,64,2
5,0.450672517140549,-0.12902790469210146,9.04259204864502,16.461204528808594,4.739185333251953,4.197580337524414,2.218321345240019,4.12112283706665,1.8577663898468018,0.015594482421875,0.9453964233398438,24,512,64,2
6,0.4040029033250043,-0.039678841548856036,9.13076400756836,15.320148468017578,4.00306510925293,3.850290060043335,1.7704400873907347,3.7270967960357666,2.1051809787750244,0.012664794921875,0.9395567774772644,26,512,64,2
7,0.37813813109173,-0.0786902150152724,11.22186279296875,18.04558753967285,4.934295654296875,4.574339866638184,1.725029298120144,5.157812118530273,2.989985227584839,0.0091552734375,0.9538748860359192,22,512,64,2
8,0.9339290950557747,-0.10374279654878005,9.946459770202637,150.54220581054688,4.660778522491455,4.222703456878662,223.60743108588832,614.74365234375,2.749209403991699,0.0234375,0.9998219013214111,1,512,64,2
9,0.36716574279235037,0.16175767187551193,12.070691108703613,19.074016571044922,4.4891486167907715,5.355430603027344,1.7695272723877613,5.7838945388793945,3.2686100006103516,0.0176849365234375,0.957821786403656,21,512,64,2
10,0.542395825516334,0.06191413756913511,8.048498153686523,17.588340759277344,4.898467540740967,5.221768856048584,2.518031272923713,4.958693027496338,1.9692738056182861,0.017333984375,0.9736202359199524,18,512,64,2
11,0.33374058547339325,0.24353622031220634,12.449870109558105,18.686220169067383,4.644076824188232,6.139192581176758,1.6613172109490273,5.615310192108154,3.380034923553467,0.01922607421875,0.9406259655952454,24,512,64,2
12,0.5330998004163192,-0.031486818518544624,7.580483913421631,16.235769271850586,5.2823662757873535,5.121118545532227,2.2871081407113643,4.232326030731201,1.8505141735076904,0.01409912109375,0.9728288054466248,17,512,64,2
13,0.5316800942150197,0.10898640393158576,8.208240509033203,17.526994705200195,4.68052864074707,5.25303840637207,1.978169496254516,4.84113073348999,2.4472780227661133,0.00640869140625,0.939551591873169,25,512,64,2
14,0.5768306572535533,0.11348614028907422,7.569949626922607,17.888700485229492,5.066282272338867,5.714837074279785,2.569691551743539,5.096138954162598,1.9831714630126953,0.0121002197265625,0.9676235914230347,16,512,64,2
15,0.5171010047597506,0.08978471056195714,8.02812671661377,16.62485694885254,5.0793232917785645,5.580353736877441,2.207683601123248,4.3545966148376465,1.97247314453125,0.0128326416015625,0.9615209102630615,21,512,64,2
16,0.4465837938766938,-0.28115292965541605,11.111916542053223,20.07876968383789,7.72415018081665,6.029061794281006,1.8209858717539,6.421187400817871,3.526214838027954,0.005645751953125,0.9662600159645081,19,512,64,2
17,0.5142718597336609,-0.06866799168668614,7.781271457672119,16.019807815551758,6.397928237915039,5.986824989318848,2.400831098323528,3.9676384925842285,1.652610421180725,0.0143280029296875,0.9709872007369995,13,512,64,2
18,0.4414471402598189,0.055902640320468655,9.424629211425781,16.87329864501953,5.870087146759033,6.2176713943481445,2.0099364270370605,4.51406717300415,2.245875597000122,0.012359619140625,0.9337021112442017,27,512,64,2
19,0.48337824421302544,0.06820260279952817,9.131003379821777,17.67444610595703,5.901061534881592,6.3329877853393555,2.169733490783873,4.9567341804504395,2.284489870071411,0.0158843994140625,0.9464121460914612,25,512,64,2
20,0.5013342702746652,-0.08043630912786504,8.843925476074219,17.735177993774414,10.022126197814941,9.275999069213867,2.8124471912908136,4.9881415367126465,1.7735947370529175,0.0176544189453125,0.972374677658081,12,512,64,2
21,0.42410498680242026,-0.16184976033412668,8.856488227844238,15.378650665283203,15.962797164916992,13.739123344421387,2.5595958348125025,3.7148144245147705,1.4513285160064697,0.0173187255859375,0.9780213832855225,12,512,64,2
22,0.3667322756075446,-0.37356251016347763,8.987774848937988,14.192693710327148,16.76325225830078,12.204215049743652,2.3505020368401635,3.212873697280884,1.3668882846832275,0.0126190185546875,0.9628208875656128,17,512,64,2
23,0.4513913817559484,-0.2312640431581583,9.179177284240723,16.731740951538086,14.537067413330078,11.806620597839355,3.2338072507140576,4.604435443878174,1.423843502998352,0.0207061767578125,0.9531798958778381,18,512,64,2
