layer_idx,k_delta_compressibility,v_delta_compressibility,k_delta_norm,k_abs_norm,v_delta_norm,v_abs_norm,channel_structure_ratio,k_var_channel,k_var_token,k_outlier_fraction,sv_top50_energy,effective_rank_90,seq_len,head_dim,n_heads
0,-0.08907605055950452,-0.4578731159335887,10.44509220123291,9.59078311920166,0.15042173862457275,0.10317889600992203,1.6027743758161477,2.2420101165771484,1.398830771446228,0.0155487060546875,0.9928747415542603,15,512,64,4
1,0.43155974779991046,-0.5352894577887042,10.384373664855957,18.2681884765625,0.3501920700073242,0.228095144033432,1.8973406698690733,5.422183990478516,2.857780933380127,0.00438690185546875,0.9692240953445435,23,512,64,4
2,0.29400608974017817,-0.5235321759757607,12.144913673400879,17.20257568359375,0.5135525465011597,0.3370802104473114,1.585196083198265,4.873658657073975,3.0744831562042236,0.00464630126953125,0.9735270738601685,24,512,64,4
3,0.4035869443314639,-0.4084794166915173,10.812673568725586,18.129505157470703,1.2761311531066895,0.9060346484184265,2.1207262881156006,5.1934895515441895,2.448920249938965,0.01705169677734375,0.9144349694252014,30,512,64,4
4,0.34843335174182966,-0.325040713172962,12.055105209350586,18.50172233581543,1.4080603122711182,1.0626543760299683,2.10368972641696,5.386297225952148,2.5604047775268555,0.0158843994140625,0.9274803996086121,28,512,64,4
5,0.4033123501791511,-0.3229645131349814,11.804250717163086,19.7829647064209,1.6196510791778564,1.2242588996887207,2.244430729007224,6.182648658752441,2.754662275314331,0.0173492431640625,0.9387393593788147,25,512,64,4
6,0.4230682345859973,-0.21036482710986704,11.744486808776855,20.35680389404297,1.503254771232605,1.2419848442077637,2.147758535034064,6.472938537597656,3.0138111114501953,0.01739501953125,0.9453374147415161,24,512,64,4
7,0.47043080418728545,-0.2401138138644916,9.891914367675781,18.67917251586914,1.615366816520691,1.302595615386963,2.4095084667623246,5.545058250427246,2.301323413848877,0.017608642578125,0.9663089513778687,16,512,64,4
8,0.35348057146704215,-0.11484932098788936,14.067085266113281,21.7581787109375,1.6755720376968384,1.5029582977294922,2.024969177681723,7.592566967010498,3.7494728565216064,0.02182769775390625,0.9276788830757141,28,512,64,4
9,0.4623190758556299,-0.16479877976230317,11.680597305297852,21.724031448364258,1.6490010023117065,1.4156960248947144,2.1667602502486076,7.441169261932373,3.434237480163574,0.0165863037109375,0.9418345093727112,23,512,64,4
10,0.45407472153831585,-0.11326918062445479,11.25997543334961,20.62548828125,1.6490212678909302,1.4812421798706055,2.0110457910188604,6.71558141708374,3.3393478393554688,0.01767730712890625,0.9227154850959778,28,512,64,4
11,0.4989021705596365,-0.05543174260503525,10.468071937561035,20.890275955200195,1.836647391319275,1.7401858568191528,2.0069605830076296,6.916722774505615,3.446367025375366,0.0194549560546875,0.9573372006416321,18,512,64,4
12,0.4877082577601882,-0.07986993383568963,11.116630554199219,21.699804306030273,1.8480654954910278,1.7113778591156006,2.0996585582761225,7.480923175811768,3.5629236698150635,0.01766204833984375,0.9515575766563416,19,512,64,4
13,0.461317987643033,-0.03165018477813186,11.489027976989746,21.328033447265625,1.8501440286636353,1.7933831214904785,2.0422635497986446,7.2390570640563965,3.5446243286132812,0.01888275146484375,0.933906078338623,25,512,64,4
14,0.4650612634899559,-0.017109740098453674,11.511195182800293,21.51871681213379,1.9775214195251465,1.9442557096481323,2.021904289253213,7.395766258239746,3.6578221321105957,0.01747894287109375,0.9313977956771851,25,512,64,4
15,0.47718719760906636,-0.0909398497839522,11.180140495300293,21.38459587097168,2.3238918781280518,2.130174160003662,2.0400402599008314,7.250103950500488,3.5539023876190186,0.0175933837890625,0.9338605999946594,25,512,64,4
16,0.48340047197895275,-0.028228940791406254,11.300129890441895,21.874061584472656,2.080552339553833,2.023432970046997,2.0238281652994536,7.558157920837402,3.7345848083496094,0.01715850830078125,0.9293132424354553,26,512,64,4
17,0.4693986844098915,-0.15755083400653125,10.653595924377441,20.078344345092773,2.8427042961120605,2.455792188644409,2.0620362168184547,6.391233444213867,3.0994768142700195,0.01845550537109375,0.9516445994377136,20,512,64,4
18,0.444828158376787,-0.1478123003128604,11.767804145812988,21.196687698364258,3.2976276874542236,2.8729677200317383,2.011513903901888,7.1582231521606445,3.558624744415283,0.01507568359375,0.9616164565086365,19,512,64,4
19,0.47573120802014335,-0.16161997790906124,10.752531051635742,20.50957679748535,3.4987967014312744,3.011997699737549,2.1549328001722823,6.718250274658203,3.11761474609375,0.018096923828125,0.9373482465744019,24,512,64,4
20,0.45950124112752966,-0.12581330003849778,11.060273170471191,20.46308708190918,3.454730749130249,3.0686533451080322,2.0784697071028777,6.635286331176758,3.192390203475952,0.01657867431640625,0.9405919909477234,24,512,64,4
21,0.4031980803488727,-0.15232946566035688,11.76703929901123,19.716825485229492,4.5511088371276855,3.9494857788085938,2.0190537054573103,6.1916913986206055,3.0666303634643555,0.01668548583984375,0.9140795469284058,30,512,64,4
