model,method,layer,head,kl_divergence
TinyLlama,delta_int8,0,0,8.003553375601768e-11
TinyLlama,delta_int8,0,1,-4.7075445763766766e-09
TinyLlama,delta_int8,0,2,8.287315722554922e-09
TinyLlama,delta_int8,0,3,-5.9881131164729595e-09
TinyLlama,delta_int8,0,4,-6.03176886215806e-09
TinyLlama,delta_int8,0,5,1.9426806829869747e-09
TinyLlama,delta_int8,0,6,5.296897143125534e-09
TinyLlama,delta_int8,0,7,6.2282197177410126e-09
TinyLlama,delta_int8,0,8,2.735760062932968e-09
TinyLlama,delta_int8,0,9,-5.158653948456049e-09
TinyLlama,delta_int8,0,10,5.675246939063072e-10
TinyLlama,delta_int8,0,11,-4.99130692332983e-09
TinyLlama,delta_int8,0,12,2.1755113266408443e-08
TinyLlama,delta_int8,0,13,1.2878444977104664e-09
TinyLlama,delta_int8,0,14,-2.321030478924513e-09
TinyLlama,delta_int8,0,15,1.9863364286720753e-08
TinyLlama,delta_int8,0,16,-5.929905455559492e-09
TinyLlama,delta_int8,0,17,-3.92901711165905e-09
TinyLlama,delta_int8,0,18,-4.984030965715647e-09
TinyLlama,delta_int8,0,19,-8.789356797933578e-09
TinyLlama,delta_int8,0,20,-7.3196133598685265e-09
TinyLlama,delta_int8,0,21,-3.4124241210520267e-09
TinyLlama,delta_int8,0,22,3.3032847568392754e-09
TinyLlama,delta_int8,0,23,-1.0550138540565968e-08
TinyLlama,delta_int8,0,24,-2.6921043172478676e-10
TinyLlama,delta_int8,0,25,6.693881005048752e-09
TinyLlama,delta_int8,0,26,-2.0081643015146255e-09
TinyLlama,delta_int8,0,27,3.41970007866621e-10
TinyLlama,delta_int8,0,28,-8.207280188798904e-09
TinyLlama,delta_int8,0,29,7.275957614183426e-11
TinyLlama,delta_int8,0,30,-8.003553375601768e-11
TinyLlama,delta_int8,0,31,5.289621185511351e-09
TinyLlama,delta_int8,1,0,-2.8085196390748024e-09
TinyLlama,delta_int8,1,1,-3.6670826375484467e-09
TinyLlama,delta_int8,1,2,1.3715180102735758e-08
TinyLlama,delta_int8,1,3,-3.587047103792429e-09
TinyLlama,delta_int8,1,4,-8.294591680169106e-10
TinyLlama,delta_int8,1,5,2.3283064365386963e-09
TinyLlama,delta_int8,1,6,-1.1757947504520416e-08
TinyLlama,delta_int8,1,7,-4.903995431959629e-09
TinyLlama,delta_int8,1,8,-1.097942003980279e-08
TinyLlama,delta_int8,1,9,-3.623426891863346e-09
TinyLlama,delta_int8,1,10,-2.975866664201021e-09
TinyLlama,delta_int8,1,11,-1.2369127944111824e-09
TinyLlama,delta_int8,1,12,1.0295480024069548e-08
TinyLlama,delta_int8,1,13,-5.762558430433273e-09
TinyLlama,delta_int8,1,14,1.0884832590818405e-08
TinyLlama,delta_int8,1,15,-5.413312464952469e-09
TinyLlama,delta_int8,1,16,5.420588422566652e-09
