model,context,depth,layer,lag,cosine_sim
TinyLlama,prose,early,0,1,0.8369462490081787
TinyLlama,prose,early,0,2,0.763484537601471
TinyLlama,prose,early,0,3,0.710132896900177
TinyLlama,prose,early,0,4,0.7000521421432495
TinyLlama,prose,early,0,5,0.7258617877960205
TinyLlama,prose,early,0,6,0.7476121783256531
TinyLlama,prose,early,0,7,0.741761326789856
TinyLlama,prose,early,0,8,0.7049303650856018
TinyLlama,prose,early,0,9,0.6683497428894043
TinyLlama,prose,early,0,10,0.6639769673347473
TinyLlama,prose,early,0,11,0.6810497045516968
TinyLlama,prose,early,0,12,0.7074072360992432
TinyLlama,prose,early,0,13,0.7041391730308533
TinyLlama,prose,early,0,14,0.6683744788169861
TinyLlama,prose,early,0,15,0.6348861455917358
TinyLlama,prose,early,0,16,0.6295391917228699
TinyLlama,prose,early,0,17,0.6606569886207581
TinyLlama,prose,early,0,18,0.6895925402641296
TinyLlama,prose,early,0,19,0.6881505250930786
TinyLlama,prose,early,0,20,0.647034764289856
TinyLlama,prose,middle,11,1,0.8952267169952393
TinyLlama,prose,middle,11,2,0.841675341129303
TinyLlama,prose,middle,11,3,0.8188222646713257
TinyLlama,prose,middle,11,4,0.8040947318077087
TinyLlama,prose,middle,11,5,0.7955874800682068
TinyLlama,prose,middle,11,6,0.783388614654541
TinyLlama,prose,middle,11,7,0.7733190655708313
TinyLlama,prose,middle,11,8,0.7633076906204224
TinyLlama,prose,middle,11,9,0.7550302743911743
TinyLlama,prose,middle,11,10,0.7507388591766357
TinyLlama,prose,middle,11,11,0.7492548823356628
TinyLlama,prose,middle,11,12,0.7454240322113037
TinyLlama,prose,middle,11,13,0.7372710704803467
TinyLlama,prose,middle,11,14,0.7291374802589417
TinyLlama,prose,middle,11,15,0.7239835262298584
TinyLlama,prose,middle,11,16,0.7191901206970215
TinyLlama,prose,middle,11,17,0.7188621163368225
TinyLlama,prose,middle,11,18,0.715956449508667
TinyLlama,prose,middle,11,19,0.7138187885284424
TinyLlama,prose,middle,11,20,0.708047091960907
TinyLlama,prose,late,21,1,0.8209255933761597
TinyLlama,prose,late,21,2,0.7441188097000122
TinyLlama,prose,late,21,3,0.7031925916671753
TinyLlama,prose,late,21,4,0.6847077012062073
TinyLlama,prose,late,21,5,0.6837413907051086
TinyLlama,prose,late,21,6,0.679207444190979
TinyLlama,prose,late,21,7,0.6633287668228149
TinyLlama,prose,late,21,8,0.6315813660621643
TinyLlama,prose,late,21,9,0.610759437084198
TinyLlama,prose,late,21,10,0.6074809432029724
TinyLlama,prose,late,21,11,0.6216280460357666
TinyLlama,prose,late,21,12,0.631906270980835
TinyLlama,prose,late,21,13,0.6274875402450562
TinyLlama,prose,late,21,14,0.6049696207046509
TinyLlama,prose,late,21,15,0.5847409963607788
TinyLlama,prose,late,21,16,0.5803723335266113
TinyLlama,prose,late,21,17,0.601163387298584
TinyLlama,prose,late,21,18,0.6197680234909058
TinyLlama,prose,late,21,19,0.6230898499488831
TinyLlama,prose,late,21,20,0.6082547903060913
TinyLlama,code,early,0,1,0.676685631275177
TinyLlama,code,early,0,2,0.6926301121711731
TinyLlama,code,early,0,3,0.6249660849571228
TinyLlama,code,early,0,4,0.6286176443099976
TinyLlama,code,early,0,5,0.6428118944168091
